subject_id,num_samples,accuracy,precision,recall,f1
1,480,0.7666666666666667,0.8047619047619048,0.7041666666666667,0.7511111111111111
10,480,0.7875,0.7555555555555555,0.85,0.8
11,480,0.8520833333333333,0.8313725490196079,0.8833333333333333,0.8565656565656565
12,480,0.8145833333333333,0.7725631768953068,0.8916666666666667,0.8278529980657641
13,480,0.8291666666666667,0.8185483870967742,0.8458333333333333,0.8319672131147541
14,480,0.5395833333333333,0.553072625698324,0.4125,0.47255369928400953
15,480,0.9041666666666667,0.8464285714285714,0.9875,0.9115384615384615
16,480,0.8104166666666667,0.7365079365079366,0.9666666666666667,0.836036036036036
17,480,0.8270833333333333,0.803088803088803,0.8666666666666667,0.8336673346693386
18,480,0.7583333333333333,0.7152777777777778,0.8583333333333333,0.7803030303030303
19,480,0.8083333333333333,0.7551724137931034,0.9125,0.8264150943396227
2,480,0.7729166666666667,0.7835497835497836,0.7541666666666667,0.7685774946921444
20,480,0.8604166666666667,0.8100358422939068,0.9416666666666667,0.8709055876685935
21,480,0.8020833333333334,0.8372093023255814,0.75,0.7912087912087912
22,480,0.7041666666666667,0.7168141592920354,0.675,0.6952789699570815
3,480,0.6354166666666666,0.6086956521739131,0.7583333333333333,0.6753246753246753
4,480,0.6166666666666667,0.5880503144654088,0.7791666666666667,0.6702508960573477
5,480,0.7229166666666667,0.6532951289398281,0.95,0.7741935483870968
6,480,0.8166666666666667,0.8064516129032258,0.8333333333333334,0.819672131147541
7,480,0.81875,0.8097165991902834,0.8333333333333334,0.8213552361396304
8,480,0.84375,0.7777777777777778,0.9625,0.8603351955307262
9,480,0.7708333333333334,0.8186274509803921,0.6958333333333333,0.7522522522522522
