subject_id,threshold,accuracy,precision,recall,specificity,f1,num_samples,num_raw_samples,tp,fp,tn,fn
20,0.3510986678303947,0.7870370370370371,0.7384615384615385,0.8888888888888888,0.6851851851851852,0.8067226890756303,108,432,48,17,37,6
19,0.028227459500150882,0.6018518518518519,0.5567010309278351,1.0,0.2037037037037037,0.7152317880794702,108,432,54,43,11,0
17,0.16519716067829282,0.7592592592592593,0.75,0.7777777777777778,0.7407407407407407,0.7636363636363637,108,432,42,14,40,12
16,0.5570400157120892,0.7037037037037037,0.6309523809523809,0.9814814814814815,0.42592592592592593,0.7681159420289855,108,432,53,31,23,1
15,0.2143916962926579,0.8981481481481481,0.9777777777777777,0.8148148148148148,0.9814814814814815,0.8888888888888888,108,432,44,1,53,10
13,0.7349119596962866,0.7777777777777778,0.8,0.7407407407407407,0.8148148148148148,0.7692307692307693,108,432,40,10,44,14
12,0.31222213555594447,0.7407407407407407,0.6666666666666666,0.9629629629629629,0.5185185185185185,0.7878787878787878,108,432,52,26,28,2
11,0.8505088438930912,0.8981481481481481,0.9056603773584906,0.8888888888888888,0.9074074074074074,0.897196261682243,108,432,48,5,49,6
8,0.8861829681343536,0.8055555555555556,0.726027397260274,0.9814814814814815,0.6296296296296297,0.8346456692913385,108,432,53,20,34,1
5,0.7013268843966736,0.8055555555555556,0.7538461538461538,0.9074074074074074,0.7037037037037037,0.8235294117647058,108,432,49,16,38,5
