subject_id,accuracy,precision,recall,f1,num_samples
20,0.7520833333333333,0.7489711934156379,0.7583333333333333,0.7536231884057971,480
19,0.6166666666666667,0.85,0.2833333333333333,0.425,480
17,0.5916666666666667,0.9074074074074074,0.20416666666666666,0.3333333333333333,480
16,0.6416666666666667,0.585427135678392,0.9708333333333333,0.7304075235109718,480
15,0.6208333333333333,0.967741935483871,0.25,0.3973509933774834,480
13,0.61875,0.5755968169761273,0.9041666666666667,0.7034035656401945,480
12,0.8270833333333333,0.7661016949152543,0.9416666666666667,0.8448598130841122,480
11,0.7770833333333333,0.7418181818181818,0.85,0.7922330097087379,480
8,0.6916666666666667,0.6185567010309279,1.0,0.7643312101910829,480
5,0.6520833333333333,0.5928753180661578,0.9708333333333333,0.7361769352290679,480
