subject_id,accuracy,precision,recall,f1,num_samples
20,0.75625,0.7757847533632287,0.7208333333333333,0.7473002159827213,480
19,0.7395833333333334,0.7601809954751131,0.7,0.7288503253796096,480
17,0.7208333333333333,0.8397435897435898,0.5458333333333333,0.6616161616161617,480
16,0.75625,0.7639484978540773,0.7416666666666667,0.7526427061310782,480
15,0.6604166666666667,0.9753086419753086,0.32916666666666666,0.49221183800623053,480
13,0.6625,0.6059782608695652,0.9291666666666667,0.7335526315789473,480
12,0.83125,0.7731958762886598,0.9375,0.847457627118644,480
11,0.7791666666666667,0.7463235294117647,0.8458333333333333,0.79296875,480
8,0.69375,0.6207792207792208,0.9958333333333333,0.7648,480
5,0.6125,0.5658536585365853,0.9666666666666667,0.7138461538461538,480
