subject_id,threshold,accuracy,precision,recall,specificity,f1,num_samples,tp,fp,tn,fn
20,0.8795857234286204,0.6018518518518519,0.9074074074074074,0.22685185185185186,0.9768518518518519,0.362962962962963,432,49,5,211,167
19,0.07148532874266748,0.6921296296296297,0.6476868327402135,0.8425925925925926,0.5416666666666666,0.7323943661971831,432,182,99,117,34
17,0.3377743906393742,0.6180555555555556,0.8148148148148148,0.3055555555555556,0.9305555555555556,0.4444444444444444,432,66,15,201,150
16,0.6446219380929309,0.7662037037037037,0.7751196172248804,0.75,0.7824074074074074,0.7623529411764706,432,162,47,169,54
15,0.2647889439985982,0.7731481481481481,0.9758064516129032,0.5601851851851852,0.9861111111111112,0.711764705882353,432,121,3,213,95
13,0.856187471096895,0.5856481481481481,0.9111111111111111,0.18981481481481483,0.9814814814814815,0.31417624521072796,432,41,4,212,175
12,0.8775923576025059,0.7662037037037037,0.844311377245509,0.6527777777777778,0.8796296296296297,0.7362924281984334,432,141,26,190,75
11,0.9235232756582679,0.7129629629629629,0.8833333333333333,0.49074074074074076,0.9351851851851852,0.6309523809523809,432,106,14,202,110
8,0.9533310518007883,0.6273148148148148,0.8235294117647058,0.32407407407407407,0.9305555555555556,0.46511627906976744,432,70,15,201,146
5,0.8459179258764932,0.6921296296296297,0.8487394957983193,0.4675925925925926,0.9166666666666666,0.6029850746268657,432,101,18,198,115
